,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
205,St. Lucie,Florida,54.0,0.35,87591,72,298763,1
206,Santa Rosa,Florida,16.0,0.43,34353,12,166778,1
207,Sarasota,Florida,118.0,0.32,174026,100,404839,0
208,Seminole,Florida,38.0,0.26,92794,31,449260,0
209,Taylor,Florida,6.0,0.54,5833,1,22350,1
210,Volusia,Florida,105.0,0.36,160876,79,518660,0
211,Walton,Florida,28.0,0.49,16604,10,63457,1
212,Appling,Georgia,3.0,0.53,4208,15,18471,1
213,Bacon,Georgia,4.0,0.54,2329,5,11279,1
214,Baldwin,Georgia,12.0,0.45,9287,35,45527,1
215,Barrow,Georgia,6.0,0.36,12454,29,75099,1
216,Bartow,Georgia,21.0,0.43,18389,46,102623,1
217,Ben Hill,Georgia,5.0,0.52,3982,1,17272,1
218,Bibb,Georgia,115.0,0.33,31993,43,153923,1
219,Bulloch,Georgia,24.0,0.48,11463,6,73742,1
220,Camden,Georgia,5.0,0.48,8503,2,52252,1
221,Candler,Georgia,6.0,0.54,2476,0,10894,1
222,Carroll,Georgia,18.0,0.42,20423,40,114898,1
223,Chatham,Georgia,62.0,0.32,56014,39,285506,1
224,Clarke,Georgia,92.0,0.28,17345,15,123554,1
225,Clayton,Georgia,34.0,0.18,36959,84,274150,1
226,Cobb,Georgia,81.0,0.13,120689,258,739072,0
227,Coffee,Georgia,10.0,0.5,7860,17,43048,1
228,Colquitt,Georgia,10.0,0.49,8918,20,45890,1
229,Coweta,Georgia,23.0,0.39,25269,16,138015,1
230,Crisp,Georgia,16.0,0.5,5331,13,23005,1
231,Decatur,Georgia,10.0,0.51,5831,8,27023,1
232,DeKalb,Georgia,278.0,0.13,121505,186,736066,0
233,Dodge,Georgia,6.0,0.52,4726,2,21063,1
234,Dougherty,Georgia,50.0,0.41,18997,156,91522,1
235,Douglas,Georgia,8.0,0.32,22028,40,140152,1
236,Elbert,Georgia,4.0,0.52,5092,0,19288,1
237,Emanuel,Georgia,8.0,0.53,4782,3,22502,1
238,Fannin,Georgia,5.0,0.52,8800,2,24480,1
239,Fayette,Georgia,66.0,0.32,25277,20,110306,1
240,Floyd,Georgia,42.0,0.44,20941,15,96471,1
241,Forsyth,Georgia,24.0,0.25,33215,16,211300,1
242,Franklin,Georgia,8.0,0.51,5691,2,22328,1
243,Fulton,Georgia,519.0,0.17,159840,333,1010420,0
244,Gordon,Georgia,8.0,0.46,10941,18,56424,1
245,Grady,Georgia,4.0,0.51,5593,4,25048,1
246,Gwinnett,Georgia,70.0,0.13,122430,191,889954,0
247,Habersham,Georgia,4.0,0.47,10665,41,43878,1
248,Hall,Georgia,85.0,0.34,36793,65,192865,1
249,Houston,Georgia,36.0,0.38,25522,33,150341,1
250,Jeff Davis,Georgia,4.0,0.54,3219,3,14999,1
251,Laurens,Georgia,16.0,0.5,10610,1,47451,1
252,Lowndes,Georgia,48.0,0.42,17921,18,113941,1
253,Muscogee,Georgia,61.0,0.31,34483,64,198647,1
254,Newton,Georgia,10.0,0.38,18455,18,105042,1
255,Paulding,Georgia,8.0,0.34,21365,16,152399,1
256,Pickens,Georgia,6.0,0.48,8464,5,30343,1
257,Pulaski,Georgia,6.0,0.53,2806,2,11396,1
258,Richmond,Georgia,209.0,0.34,38152,62,201568,1
259,Rockdale,Georgia,16.0,0.32,17124,11,88482,1
260,Spalding,Georgia,22.0,0.42,14777,33,64192,1
261,Stephens,Georgia,6.0,0.49,6327,6,25625,1
262,Thomas,Georgia,35.0,0.49,10319,33,44909,1
263,Tift,Georgia,20.0,0.47,8091,29,40531,1
264,Toombs,Georgia,8.0,0.51,5815,5,27160,1
