county,state,first_case_date
Morrison,Minnesota,2020-04-19
Mille Lacs,Minnesota,2020-04-16
Meeker,Minnesota,2020-03-30
McLeod,Minnesota,2020-04-04
Martin,Minnesota,2020-03-17
Marshall,Minnesota,2020-04-19
Mahnomen,Minnesota,2020-03-27
Lyon,Minnesota,2020-03-31
Lincoln,Minnesota,2020-03-27
Le Sueur,Minnesota,2020-03-22
Lake,Minnesota,2020-05-07
Lac qui Parle,Minnesota,2020-03-23
Koochiching,Minnesota,2020-04-02
Kittson,Minnesota,2020-04-18
Kandiyohi,Minnesota,2020-03-26
Kanabec,Minnesota,2020-05-01
Jackson,Minnesota,2020-03-21
Nicollet,Minnesota,2020-03-17
Norman,Minnesota,2020-04-15
Swift,Minnesota,2020-04-07
Olmsted,Minnesota,2020-03-11
Steele,Minnesota,2020-03-21
Stearns,Minnesota,2020-03-12
St. Louis,Minnesota,2020-03-21
Sibley,Minnesota,2020-03-26
Sherburne,Minnesota,2020-03-23
Scott,Minnesota,2020-03-19
Roseau,Minnesota,2020-04-07
Rock,Minnesota,2020-04-12
Rice,Minnesota,2020-03-18
Renville,Minnesota,2020-03-14
Redwood,Minnesota,2020-04-06
Red Lake,Minnesota,2020-04-12
Ramsey,Minnesota,2020-03-06
Pope,Minnesota,2020-05-05
Polk,Minnesota,2020-04-04
Pipestone,Minnesota,2020-04-05
Pine,Minnesota,2020-04-08
Pennington,Minnesota,2020-04-21
Otter Tail,Minnesota,2020-03-29
Lafayette,Mississippi,2020-03-20
Lamar,Mississippi,2020-03-23
Lauderdale,Mississippi,2020-03-26
Clinton,Missouri,2020-03-23
Clark,Missouri,2020-04-03
Christian,Missouri,2020-03-20
Chariton,Missouri,2020-03-27
Cedar,Missouri,2020-03-30
Cass,Missouri,2020-03-16
Carter,Missouri,2020-03-26
Carroll,Missouri,2020-04-22
Cape Girardeau,Missouri,2020-03-24
Camden,Missouri,2020-03-23
Callaway,Missouri,2020-03-23
Caldwell,Missouri,2020-04-01
Butler,Missouri,2020-04-01
Buchanan,Missouri,2020-03-27
Boone,Missouri,2020-03-17
Bollinger,Missouri,2020-03-26
Benton,Missouri,2020-03-26
Bates,Missouri,2020-03-21
Barry,Missouri,2020-03-27
Audrain,Missouri,2020-04-19
Clay,Missouri,2020-03-23
Cole,Missouri,2020-03-17
Andrew,Missouri,2020-04-11
Cooper,Missouri,2020-03-25
Jefferson,Missouri,2020-03-24
Jasper,Missouri,2020-03-21
Jackson,Missouri,2020-03-17
Iron,Missouri,2020-04-11
Howell,Missouri,2020-04-02
Howard,Missouri,2020-04-07
Holt,Missouri,2020-04-15
Henry,Missouri,2020-03-13
Harrison,Missouri,2020-03-31
Greene,Missouri,2020-03-12
Gentry,Missouri,2020-04-06
Gasconade,Missouri,2020-04-01
Franklin,Missouri,2020-03-24
Dunklin,Missouri,2020-03-20
Dent,Missouri,2020-05-15
DeKalb,Missouri,2020-04-01
Daviess,Missouri,2020-04-15
Dallas,Missouri,2020-04-07
Crawford,Missouri,2020-03-30
Atchison,Missouri,2020-03-27
Adair,Missouri,2020-03-23
Lawrence,Mississippi,2020-03-20
Quitman,Mississippi,2020-03-26
Pontotoc,Mississippi,2020-03-22
Pike,Mississippi,2020-03-20
Perry,Mississippi,2020-03-18
Pearl River,Mississippi,2020-03-13
Panola,Mississippi,2020-03-21
Oktibbeha,Mississippi,2020-03-22
Noxubee,Mississippi,2020-03-24
Newton,Mississippi,2020-03-24
Neshoba,Mississippi,2020-03-27
Montgomery,Mississippi,2020-03-22
Monroe,Mississippi,2020-03-16
Marshall,Mississippi,2020-03-20
Marion,Mississippi,2020-03-23
Madison,Mississippi,2020-03-18
Lowndes,Mississippi,2020-03-21
Lincoln,Mississippi,2020-03-21
Leflore,Mississippi,2020-03-13
Lee,Mississippi,2020-03-20
Leake,Mississippi,2020-03-21
Prentiss,Mississippi,2020-03-25
Rankin,Mississippi,2020-03-20
Yazoo,Mississippi,2020-03-19
Scott,Mississippi,2020-03-19
Yalobusha,Mississippi,2020-03-26
Winston,Mississippi,2020-03-19
Wilkinson,Mississippi,2020-03-19
Webster,Mississippi,2020-03-22
Wayne,Mississippi,2020-04-02
Washington,Mississippi,2020-03-21
Warren,Mississippi,2020-03-29
Walthall,Mississippi,2020-03-19
Union,Mississippi,2020-03-21
Tunica,Mississippi,2020-03-21
Tishomingo,Mississippi,2020-03-31
Tippah,Mississippi,2020-03-20
Tate,Mississippi,2020-03-22
Tallahatchie,Mississippi,2020-03-23
Sunflower,Mississippi,2020-03-22
Stone,Mississippi,2020-04-05
Smith,Mississippi,2020-03-20
Simpson,Mississippi,2020-03-21
Sharkey,Mississippi,2020-03-27
Itasca,Minnesota,2020-03-30
Houston,Minnesota,2020-04-05
St. James,Louisiana,2020-03-19
Unknown,Maryland,2020-04-15
Franklin,Massachusetts,2020-03-18
Essex,Massachusetts,2020-03-10
Dukes,Massachusetts,2020-03-25
Bristol,Massachusetts,2020-03-14
Berkshire,Massachusetts,2020-03-07
Barnstable,Massachusetts,2020-03-14
Worcester,Maryland,2020-03-20
Wicomico,Maryland,2020-03-19
Washington,Maryland,2020-03-21
Talbot,Maryland,2020-03-16
Hennepin,Minnesota,2020-03-12
St. Mary's,Maryland,2020-03-22
Somerset,Maryland,2020-03-21
Queen Anne's,Maryland,2020-03-23
Prince George's,Maryland,2020-03-09
Montgomery,Maryland,2020-03-05
Kent,Maryland,2020-03-25
Howard,Maryland,2020-03-15
Harford,Maryland,2020-03-08
Garrett,Maryland,2020-03-23
Hampden,Massachusetts,2020-03-15
Hampshire,Massachusetts,2020-03-19
Middlesex,Massachusetts,2020-03-05
Nantucket,Massachusetts,2020-03-21
Charlevoix,Michigan,2020-03-13
Cass,Michigan,2020-03-27
Calhoun,Michigan,2020-03-21
Branch,Michigan,2020-03-31
Berrien,Michigan,2020-03-21
Benzie,Michigan,2020-04-18
Bay,Michigan,2020-03-13
Barry,Michigan,2020-03-21
Baraga,Michigan,2020-04-16
Arenac,Michigan,2020-03-31
Antrim,Michigan,2020-03-30
Alpena,Michigan,2020-04-11
Allegan,Michigan,2020-03-21
Alcona,Michigan,2020-04-15
Worcester,Massachusetts,2020-03-08
Unknown,Massachusetts,2020-03-16
Suffolk,Massachusetts,2020-02-01
Plymouth,Massachusetts,2020-03-15
Norfolk,Massachusetts,2020-03-02
Frederick,Maryland,2020-03-16
Dorchester,Maryland,2020-04-01
Charles,Maryland,2020-03-13
Cumberland,Maine,2020-03-13
Androscoggin,Maine,2020-03-12
Winn,Louisiana,2020-03-25
West Feliciana,Louisiana,2020-03-27
West Carroll,Louisiana,2020-04-06
West Baton Rouge,Louisiana,2020-03-19
Webster,Louisiana,2020-03-19
Washington,Louisiana,2020-03-17
Vernon,Louisiana,2020-03-24
Vermilion,Louisiana,2020-03-26
Unknown,Louisiana,2020-03-18
Union,Louisiana,2020-03-25
Terrebonne,Louisiana,2020-03-13
Tensas,Louisiana,2020-04-11
Tangipahoa,Louisiana,2020-03-20
St. Tammany,Louisiana,2020-03-13
St. Mary,Louisiana,2020-03-21
St. Martin,Louisiana,2020-03-23
St. Landry,Louisiana,2020-03-19
St. John the Baptist,Louisiana,2020-03-14
Aroostook,Maine,2020-04-03
Franklin,Maine,2020-03-26
Cecil,Maryland,2020-03-22
Hancock,Maine,2020-04-01
Carroll,Maryland,2020-03-14
Caroline,Maryland,2020-03-21
Calvert,Maryland,2020-03-19
Baltimore city,Maryland,2020-03-15
Baltimore,Maryland,2020-03-11
Anne Arundel,Maryland,2020-03-13
Allegany,Maryland,2020-04-02
York,Maine,2020-03-17
Washington,Maine,2020-04-03
Waldo,Maine,2020-03-24
Unknown,Maine,2020-03-16
Somerset,Maine,2020-03-29
Sagadahoc,Maine,2020-03-21
Piscataquis,Maine,2020-04-19
Penobscot,Maine,2020-03-18
Oxford,Maine,2020-03-17
Lincoln,Maine,2020-03-15
Knox,Maine,2020-03-23
Kennebec,Maine,2020-03-17
Cheboygan,Michigan,2020-03-29
Chippewa,Michigan,2020-03-23
Clare,Michigan,2020-03-21
Beltrami,Minnesota,2020-03-27
Anoka,Minnesota,2020-03-10
Aitkin,Minnesota,2020-04-17
Wexford,Michigan,2020-03-21
Wayne,Michigan,2020-03-10
Washtenaw,Michigan,2020-03-12
Van Buren,Michigan,2020-03-25
Unknown,Michigan,2020-03-26
Tuscola,Michigan,2020-03-21
St. Joseph,Michigan,2020-03-30
St. Clair,Michigan,2020-03-12
Shiawassee,Michigan,2020-03-26
Schoolcraft,Michigan,2020-04-08
Sanilac,Michigan,2020-03-25
Saginaw,Michigan,2020-03-21
Roscommon,Michigan,2020-03-22
Presque Isle,Michigan,2020-04-06
Ottawa,Michigan,2020-03-15
Otsego,Michigan,2020-03-17
Oscoda,Michigan,2020-03-31
Becker,Minnesota,2020-04-11
Benton,Minnesota,2020-03-16
Ontonagon,Michigan,2020-05-21
Big Stone,Minnesota,2020-03-23
Grant,Minnesota,2020-05-02
Goodhue,Minnesota,2020-03-25
Freeborn,Minnesota,2020-04-01
Fillmore,Minnesota,2020-03-20
Faribault,Minnesota,2020-03-27
Douglas,Minnesota,2020-03-29
Dodge,Minnesota,2020-03-21
Dakota,Minnesota,2020-03-12
Crow Wing,Minnesota,2020-04-01
Cottonwood,Minnesota,2020-03-29
Clearwater,Minnesota,2020-03-28
Clay,Minnesota,2020-03-20
Chisago,Minnesota,2020-03-20
Chippewa,Minnesota,2020-04-20
Cass,Minnesota,2020-03-23
Carver,Minnesota,2020-03-08
Carlton,Minnesota,2020-03-31
Brown,Minnesota,2020-03-31
Blue Earth,Minnesota,2020-03-16
Osceola,Michigan,2020-03-28
Ogemaw,Michigan,2020-03-26
Clinton,Michigan,2020-03-19
Kent,Michigan,2020-03-12
Kalamazoo,Michigan,2020-03-23
Jackson,Michigan,2020-03-17
Isabella,Michigan,2020-03-24
Iosco,Michigan,2020-03-25
Ionia,Michigan,2020-03-26
Ingham,Michigan,2020-03-12
Huron,Michigan,2020-03-27
Houghton,Michigan,2020-03-30
Hillsdale,Michigan,2020-03-24
Gratiot,Michigan,2020-03-27
Grand Traverse,Michigan,2020-03-22
Gogebic,Michigan,2020-03-26
Gladwin,Michigan,2020-03-22
Genesee,Michigan,2020-03-19
Emmet,Michigan,2020-03-22
Eaton,Michigan,2020-03-19
Dickinson,Michigan,2020-04-02
Delta,Michigan,2020-03-30
Crawford,Michigan,2020-03-27
Kalkaska,Michigan,2020-03-24
Lake,Michigan,2020-04-11
Oceana,Michigan,2020-03-26
Lapeer,Michigan,2020-03-24
Oakland,Michigan,2020-03-10
Newaygo,Michigan,2020-03-23
Muskegon,Michigan,2020-03-23
Montmorency,Michigan,2020-04-13
Montcalm,Michigan,2020-03-12
Monroe,Michigan,2020-03-14
Missaukee,Michigan,2020-03-26
Midland,Michigan,2020-03-19
Menominee,Michigan,2020-04-10
Mecosta,Michigan,2020-03-26
Mason,Michigan,2020-04-07
Marquette,Michigan,2020-03-25
Manistee,Michigan,2020-03-24
Macomb,Michigan,2020-03-13
Mackinac,Michigan,2020-04-01
Luce,Michigan,2020-04-03
Livingston,Michigan,2020-03-19
Lenawee,Michigan,2020-03-25
Leelanau,Michigan,2020-03-13
Randolph,Indiana,2020-03-27
